model_name	version	mention_type	url	context_from_paper	source_url
DeepSUVR		used		The random smoothing augmentation used to train DeepSUVR was also employed to reduce the variability due to different scanner's PSF.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12892302/
LP-CNN		used		To avoid the requirement of a large amount of GPU memory, we partition our data into 64 × 64 × 64 3D patches for training, as was done in LP-CNN training [ 18 ].	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11705005/
RoBERTa-base		fine-tuned		We employed the base RoBERTa-base model, a robust transformer architecture pre-trained on a large corpus of text, for binary sequence classification. The model was initialized using the RobertaForSequenceClassification class from the Hugging Face transformers library and fine-tuned for two output classes.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12583127/
SimpleLama		used		simple-lama-inpainting (SimpleLama) for deep learning-based inpainting	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13286836/
RandomForestClassifier		used		The RandomForestClassifier, also from Scikit-learn, utilized 100 trees to predict key genes, which ranged from 100 to 10,000 in number.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13021938/
TensorFlow		used		These genes were then used with various hyperparameters to train over 25,000 models using the TensorFlow library.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13021938/
Scikit-learn	1.4.1post1	used		We normalized and scaled RNA-seq read counts using the StandardScaler function from the Scikit-learn library (1.4.1post1).	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13021938/
CSDI		used		For SADI, we use CSDI with the default parameters to generate the initial imputation in the first step.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11391213/
K-SC		used		Then we use the K-SC method with shift=5 to conduct the clustering step.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11391213/
TransformerEncoder		used		Each transformer layer used in Figure 4 is a 1-layer TransformerEncoder implemented in PyTorch ( Paszke et al., 2019 ), and it consists of a multi-head attention layer, fully-connected layers, and layer normalization.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11391213/
Elastic Net		created		The repository contains the trained Elastic Net model (six_gene_model.pkl), the required probe input order (six_gene_order.json), a Flask/Flask-CORS REST API backend serving the prediction interface, and a README file documenting the complete workflow from raw ADNI data to final figures.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13360218/
3D Slicer		used		These data were fused using 3D Slicer, a robust open-source software platform for medical image analysis.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12134523/
AutoEncoder		created		The AutoEncoder architecture, implemented with PyTorch, consists Encoder(A series of convolutional layers with ReLU activation functions to extract critical image features.) and Decoder(Transposed convolutional layers designed to reconstruct the original images from the encoded features.)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12134523/
3D-DenseNet		used		First, we fed each subject's MRI volume into the 3D‐DenseNet in evaluation mode in PyTorch, identified the output neuron with the highest contribution to the predicted BA, and then computed the gradients of that top‐scoring output with respect to the input volume.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13370797/
Keras		used		The implementation was done in Python (version 3.8) using the Keras library ( 30 ) with TensorFlow ( 31 ) as backend and trained on a Nvidia Tesla V100 graphics card with 32GB VRAM.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10659533/
TensorFlow		used		The implementation was done in Python (version 3.8) using the Keras library ( 30 ) with TensorFlow ( 31 ) as backend and trained on a Nvidia Tesla V100 graphics card with 32GB VRAM.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10659533/
Susceptible-Infectious-Recovery model		used	https://github.com/DeMONLab-BioFINDER/Xiao_Tau_simulation_SIR	Scripts for the revised Susceptible-Infectious-Recovery model can be found at https://github.com/DeMONLab-BioFINDER/Xiao_Tau_simulation_SIR	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13042161/
