Repository	Study	Issue Type	Details	Timestamp
https://github.com/Nishchaybhuker20/gym_website	Amyloid Imaging for Phenotyping Lewy Body Dementia	No README	Repository lacks a README file, reducing accessibility and understandability	2025-12-01T06:32:51.050001
https://github.com/Nishchaybhuker20/gym_website	Amyloid Imaging for Phenotyping Lewy Body Dementia	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-12-01T06:32:51.050011
https://github.com/Nishchaybhuker20/gym_website	Amyloid Imaging for Phenotyping Lewy Body Dementia	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T06:32:51.050012
https://github.com/Nishchaybhuker20/gym_website	Amyloid Imaging for Phenotyping Lewy Body Dementia	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T06:32:51.050014
https://github.com/Nishchaybhuker20/gym_website	Amyloid Imaging for Phenotyping Lewy Body Dementia	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T06:32:51.050015
https://github.com/Nishchaybhuker20/gym_website	Amyloid Imaging for Phenotyping Lewy Body Dementia	Insufficient Content	Repository content too short (<50 chars), may be incomplete or non-functional	2025-12-01T06:33:28.090220
https://github.com/rgs212/Meta-analysis-Smith	Scottish Medical Imaging Research Dataset	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-12-01T06:37:18.981778
https://github.com/rgs212/Meta-analysis-Smith	Scottish Medical Imaging Research Dataset	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T06:37:18.981797
https://github.com/rgs212/Meta-analysis-Smith	Scottish Medical Imaging Research Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T06:37:18.981800
https://github.com/rgs212/Meta-analysis-Smith	Scottish Medical Imaging Research Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T06:37:18.981803
https://github.com/rishi2002/Molecular_activity_prediction_using_smiles	Scottish Medical Imaging Research Dataset	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-12-01T06:39:36.926817
https://github.com/rishi2002/Molecular_activity_prediction_using_smiles	Scottish Medical Imaging Research Dataset	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T06:39:36.926828
https://github.com/rishi2002/Molecular_activity_prediction_using_smiles	Scottish Medical Imaging Research Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T06:39:36.926830
https://github.com/rishi2002/Molecular_activity_prediction_using_smiles	Scottish Medical Imaging Research Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T06:39:36.926832
https://github.com/vzachari/IronSmithQSM	Scottish Medical Imaging Research Dataset	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-12-01T06:42:00.835461
https://github.com/vzachari/IronSmithQSM	Scottish Medical Imaging Research Dataset	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T06:42:00.835471
https://github.com/vzachari/IronSmithQSM	Scottish Medical Imaging Research Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T06:42:00.835472
https://github.com/vzachari/IronSmithQSM	Scottish Medical Imaging Research Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T06:42:00.835474
https://github.com/MangoWAY/SMIBID_BrainRegistration	Scottish Medical Imaging Research Dataset	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T06:43:43.026332
https://github.com/MangoWAY/SMIBID_BrainRegistration	Scottish Medical Imaging Research Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T06:43:43.026343
https://github.com/MangoWAY/SMIBID_BrainRegistration	Scottish Medical Imaging Research Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T06:43:43.026345
https://github.com/mbpfws/sentient-brain-smithery	Scottish Medical Imaging Research Dataset	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T06:45:01.985263
https://github.com/mbpfws/sentient-brain-smithery	Scottish Medical Imaging Research Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T06:45:01.985283
https://github.com/Sachintha45/BrainBattle_SmileAPI	Scottish Medical Imaging Research Dataset	No README	Repository lacks a README file, reducing accessibility and understandability	2025-12-01T06:47:15.340029
https://github.com/Sachintha45/BrainBattle_SmileAPI	Scottish Medical Imaging Research Dataset	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-12-01T06:47:15.340044
https://github.com/Sachintha45/BrainBattle_SmileAPI	Scottish Medical Imaging Research Dataset	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T06:47:15.340047
https://github.com/Sachintha45/BrainBattle_SmileAPI	Scottish Medical Imaging Research Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T06:47:15.340049
https://github.com/Sachintha45/BrainBattle_SmileAPI	Scottish Medical Imaging Research Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T06:47:15.340052
https://github.com/Sachintha45/BrainBattle_SmileAPI	Scottish Medical Imaging Research Dataset	Insufficient Content	Repository content too short (<50 chars), may be incomplete or non-functional	2025-12-01T06:47:52.183018
https://github.com/sonjiwoo031105/SmileSmile	Scottish Medical Imaging Research Dataset	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-12-01T06:49:48.300757
https://github.com/sonjiwoo031105/SmileSmile	Scottish Medical Imaging Research Dataset	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T06:49:48.300770
https://github.com/sonjiwoo031105/SmileSmile	Scottish Medical Imaging Research Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T06:49:48.300772
https://github.com/sonjiwoo031105/SmileSmile	Scottish Medical Imaging Research Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T06:49:48.300774
https://github.com/sonjiwoo031105/SmileSmile	Scottish Medical Imaging Research Dataset	Insufficient Content	Repository content too short (<50 chars), may be incomplete or non-functional	2025-12-01T06:50:29.026797
https://github.com/kubotadaichi/BrainSmile	Scottish Medical Imaging Research Dataset	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-12-01T06:52:25.266508
https://github.com/kubotadaichi/BrainSmile	Scottish Medical Imaging Research Dataset	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T06:52:25.266518
https://github.com/kubotadaichi/BrainSmile	Scottish Medical Imaging Research Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T06:52:25.266520
https://github.com/kubotadaichi/BrainSmile	Scottish Medical Imaging Research Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T06:52:25.266522
https://github.com/kubotadaichi/BrainSmile	Scottish Medical Imaging Research Dataset	Insufficient Content	Repository content too short (<50 chars), may be incomplete or non-functional	2025-12-01T06:53:06.484910
https://github.com/thepok/BrainSmith	Scottish Medical Imaging Research Dataset	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-12-01T06:55:02.267470
https://github.com/thepok/BrainSmith	Scottish Medical Imaging Research Dataset	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T06:55:02.267482
https://github.com/thepok/BrainSmith	Scottish Medical Imaging Research Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T06:55:02.267485
https://github.com/thepok/BrainSmith	Scottish Medical Imaging Research Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T06:55:02.267486
https://github.com/Entropicsky/SmiteGodBrainstorm	Scottish Medical Imaging Research Dataset	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-12-01T06:57:14.496604
https://github.com/Entropicsky/SmiteGodBrainstorm	Scottish Medical Imaging Research Dataset	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T06:57:14.496613
https://github.com/Entropicsky/SmiteGodBrainstorm	Scottish Medical Imaging Research Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T06:57:14.496615
https://github.com/Entropicsky/SmiteGodBrainstorm	Scottish Medical Imaging Research Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T06:57:14.496616
https://github.com/the-sasi/BrainSmith_backend	Scottish Medical Imaging Research Dataset	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T06:58:54.215510
https://github.com/the-sasi/BrainSmith_backend	Scottish Medical Imaging Research Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T06:58:54.215529
