Repository	Study	Issue Type	Details	Timestamp
https://github.com/gemmashireby/BDR_neuropathology_EWAS	Brains for Dementia Research	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-12-01T02:32:32.065082
https://github.com/gemmashireby/BDR_neuropathology_EWAS	Brains for Dementia Research	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T02:32:32.065097
https://github.com/gemmashireby/BDR_neuropathology_EWAS	Brains for Dementia Research	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T02:32:32.065100
https://github.com/gemmashireby/BDR_neuropathology_EWAS	Brains for Dementia Research	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T02:32:32.065103
https://github.com/IAiAye/BDrive	Brains for Dementia Research	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-12-01T02:35:01.018895
https://github.com/IAiAye/BDrive	Brains for Dementia Research	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T02:35:01.018904
https://github.com/IAiAye/BDrive	Brains for Dementia Research	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T02:35:01.018905
https://github.com/IAiAye/BDrive	Brains for Dementia Research	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T02:35:01.018906
https://github.com/htil/bdr-muse	Brains for Dementia Research	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T02:36:46.623099
https://github.com/htil/bdr-muse	Brains for Dementia Research	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T02:36:46.623107
https://github.com/htil/bdr-muse	Brains for Dementia Research	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T02:36:46.623109
https://github.com/htil/bdr-simulator	Brains for Dementia Research	No Version Info	No version specification file found, may cause compatibility issues	2025-12-01T02:38:33.657231
https://github.com/htil/bdr-simulator	Brains for Dementia Research	No Container	No Docker or container file found, limiting reproducibility across environments	2025-12-01T02:38:33.657254
https://github.com/htil/bdr-simulator	Brains for Dementia Research	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-12-01T02:38:33.657255
https://github.com/pharmamarket/Alzheimer-s-Disease-Whitepaper	CamPaIGN Study	No README	Repository lacks a README file, reducing accessibility and understandability	2025-12-01T02:40:51.863830
