Repository	Study	Issue Type	Details	Timestamp
https://github.com/AmurdAmzer/AdamsBrain	Aging, Demographics, and Memory Study	No Version Info	No version specification file found, may cause compatibility issues	2026-02-09T18:59:37.033557
https://github.com/AmurdAmzer/AdamsBrain	Aging, Demographics, and Memory Study	No Container	No Docker or container file found, limiting reproducibility across environments	2026-02-09T18:59:37.033567
https://github.com/AmurdAmzer/AdamsBrain	Aging, Demographics, and Memory Study	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-02-09T18:59:37.033569
https://github.com/adamjamo/adams-brainfood-proj	Aging, Demographics, and Memory Study	No Version Info	No version specification file found, may cause compatibility issues	2026-02-09T18:59:44.620058
https://github.com/adamjamo/adams-brainfood-proj	Aging, Demographics, and Memory Study	No Container	No Docker or container file found, limiting reproducibility across environments	2026-02-09T18:59:44.620085
https://github.com/adamjamo/adams-brainfood-proj	Aging, Demographics, and Memory Study	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-02-09T18:59:44.620091
https://github.com/wrgull/ag	Aging, Demographics, and Memory Study	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-02-09T18:59:53.517919
https://github.com/wrgull/ag	Aging, Demographics, and Memory Study	No Version Info	No version specification file found, may cause compatibility issues	2026-02-09T18:59:53.517925
https://github.com/wrgull/ag	Aging, Demographics, and Memory Study	No Container	No Docker or container file found, limiting reproducibility across environments	2026-02-09T18:59:53.517928
https://github.com/wrgull/ag	Aging, Demographics, and Memory Study	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-02-09T18:59:53.517929
https://github.com/Cliffypal/Brain-Stroke-For-Mr.-Adams-Awodey	Aging, Demographics, and Memory Study	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-02-09T19:00:02.809998
https://github.com/Cliffypal/Brain-Stroke-For-Mr.-Adams-Awodey	Aging, Demographics, and Memory Study	No Version Info	No version specification file found, may cause compatibility issues	2026-02-09T19:00:02.810011
https://github.com/Cliffypal/Brain-Stroke-For-Mr.-Adams-Awodey	Aging, Demographics, and Memory Study	No Container	No Docker or container file found, limiting reproducibility across environments	2026-02-09T19:00:02.810016
https://github.com/Cliffypal/Brain-Stroke-For-Mr.-Adams-Awodey	Aging, Demographics, and Memory Study	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-02-09T19:00:02.810020
https://github.com/rybern/hMusicBrainz	Aging, Demographics, and Memory Study	No README	Repository lacks a README file, reducing accessibility and understandability	2026-02-09T19:00:15.512735
https://github.com/rybern/hMusicBrainz	Aging, Demographics, and Memory Study	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-02-09T19:00:15.512743
https://github.com/rybern/hMusicBrainz	Aging, Demographics, and Memory Study	No Version Info	No version specification file found, may cause compatibility issues	2026-02-09T19:00:15.512745
https://github.com/rybern/hMusicBrainz	Aging, Demographics, and Memory Study	No Container	No Docker or container file found, limiting reproducibility across environments	2026-02-09T19:00:15.512747
https://github.com/rybern/hMusicBrainz	Aging, Demographics, and Memory Study	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-02-09T19:00:15.512749
https://github.com/rybern/hMusicBrainz	Aging, Demographics, and Memory Study	Insufficient Content	Repository content too short (<50 chars), may be incomplete or non-functional	2026-02-09T19:00:22.069567
https://github.com/SubnauticaLaserMain/howToMakeAdamsSisBrainDead	Aging, Demographics, and Memory Study	No README	Repository lacks a README file, reducing accessibility and understandability	2026-02-09T19:00:24.102754
https://github.com/SubnauticaLaserMain/howToMakeAdamsSisBrainDead	Aging, Demographics, and Memory Study	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-02-09T19:00:24.102761
https://github.com/SubnauticaLaserMain/howToMakeAdamsSisBrainDead	Aging, Demographics, and Memory Study	No Version Info	No version specification file found, may cause compatibility issues	2026-02-09T19:00:24.102763
https://github.com/SubnauticaLaserMain/howToMakeAdamsSisBrainDead	Aging, Demographics, and Memory Study	No Container	No Docker or container file found, limiting reproducibility across environments	2026-02-09T19:00:24.102764
https://github.com/SubnauticaLaserMain/howToMakeAdamsSisBrainDead	Aging, Demographics, and Memory Study	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-02-09T19:00:24.102766
https://github.com/SubnauticaLaserMain/howToMakeAdamsSisBrainDead	Aging, Demographics, and Memory Study	Insufficient Content	Repository content too short (<50 chars), may be incomplete or non-functional	2026-02-09T19:00:30.416375
https://github.com/ravitedlapu/ADC-RBK-a-multimodal-approach-for-early-detection-of-chronic-diseases-and-focusing-on-Alzheimer-s	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-02-09T19:00:37.283499
https://github.com/ravitedlapu/ADC-RBK-a-multimodal-approach-for-early-detection-of-chronic-diseases-and-focusing-on-Alzheimer-s	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Version Info	No version specification file found, may cause compatibility issues	2026-02-09T19:00:37.283506
https://github.com/ravitedlapu/ADC-RBK-a-multimodal-approach-for-early-detection-of-chronic-diseases-and-focusing-on-Alzheimer-s	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2026-02-09T19:00:37.283508
https://github.com/ravitedlapu/ADC-RBK-a-multimodal-approach-for-early-detection-of-chronic-diseases-and-focusing-on-Alzheimer-s	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-02-09T19:00:37.283510
https://github.com/Rishi8520/S.H.R.A.V.Y.A	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-02-09T19:00:53.500871
https://github.com/Rishi8520/S.H.R.A.V.Y.A	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Version Info	No version specification file found, may cause compatibility issues	2026-02-09T19:00:53.500884
https://github.com/Rishi8520/S.H.R.A.V.Y.A	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2026-02-09T19:00:53.500887
https://github.com/Rishi8520/S.H.R.A.V.Y.A	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-02-09T19:00:53.500890
https://github.com/bothlab/galdur	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-02-09T19:01:05.116731
https://github.com/bothlab/galdur	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Version Info	No version specification file found, may cause compatibility issues	2026-02-09T19:01:05.116747
https://github.com/bothlab/galdur	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2026-02-09T19:01:05.116751
https://github.com/bothlab/galdur	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-02-09T19:01:05.116755
https://github.com/DevEraY/Stroke_Detector_AI_using_mri_and_ct_slices	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-02-09T19:01:14.171029
https://github.com/DevEraY/Stroke_Detector_AI_using_mri_and_ct_slices	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Version Info	No version specification file found, may cause compatibility issues	2026-02-09T19:01:14.171038
https://github.com/DevEraY/Stroke_Detector_AI_using_mri_and_ct_slices	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2026-02-09T19:01:14.171041
https://github.com/DevEraY/Stroke_Detector_AI_using_mri_and_ct_slices	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-02-09T19:01:14.171044
https://github.com/AndreyReaper/ADS1256_BCI	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No README	Repository lacks a README file, reducing accessibility and understandability	2026-02-09T19:01:24.993099
https://github.com/AndreyReaper/ADS1256_BCI	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-02-09T19:01:24.993110
https://github.com/AndreyReaper/ADS1256_BCI	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Version Info	No version specification file found, may cause compatibility issues	2026-02-09T19:01:24.993113
https://github.com/AndreyReaper/ADS1256_BCI	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Container	No Docker or container file found, limiting reproducibility across environments	2026-02-09T19:01:24.993115
https://github.com/AndreyReaper/ADS1256_BCI	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2026-02-09T19:01:24.993118
https://github.com/AndreyReaper/ADS1256_BCI	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	Insufficient Content	Repository content too short (<50 chars), may be incomplete or non-functional	2026-02-09T19:01:31.491466
https://github.com/ilyakh/serial-trigger	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No README	Repository lacks a README file, reducing accessibility and understandability	2026-02-09T19:01:33.378676
https://github.com/ilyakh/serial-trigger	Alzheimer's Disease Cooperative Study Clinical Trials Dataset	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2026-02-09T19:01:33.378684
