Repository	Study	Issue Type	Details	Timestamp
https://github.com/BenoitFaure/MedGemma_DeepMind	Longitudinal Early-onset Alzheimer's Disease Study	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-11-30T22:32:52.215282
https://github.com/BenoitFaure/MedGemma_DeepMind	Longitudinal Early-onset Alzheimer's Disease Study	No Version Info	No version specification file found, may cause compatibility issues	2025-11-30T22:32:52.215299
https://github.com/BenoitFaure/MedGemma_DeepMind	Longitudinal Early-onset Alzheimer's Disease Study	No Container	No Docker or container file found, limiting reproducibility across environments	2025-11-30T22:32:52.215303
https://github.com/BenoitFaure/MedGemma_DeepMind	Longitudinal Early-onset Alzheimer's Disease Study	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-11-30T22:32:52.215305
https://github.com/chandrasekarnarayana/Hotspot_detection_in_Yeast_Cell_Model-Image_Processing	Longitudinal Early-onset Alzheimer's Disease Study	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-11-30T22:35:09.990468
https://github.com/chandrasekarnarayana/Hotspot_detection_in_Yeast_Cell_Model-Image_Processing	Longitudinal Early-onset Alzheimer's Disease Study	No Version Info	No version specification file found, may cause compatibility issues	2025-11-30T22:35:09.990479
https://github.com/chandrasekarnarayana/Hotspot_detection_in_Yeast_Cell_Model-Image_Processing	Longitudinal Early-onset Alzheimer's Disease Study	No Container	No Docker or container file found, limiting reproducibility across environments	2025-11-30T22:35:09.990481
https://github.com/chandrasekarnarayana/Hotspot_detection_in_Yeast_Cell_Model-Image_Processing	Longitudinal Early-onset Alzheimer's Disease Study	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-11-30T22:35:09.990482
https://github.com/ankitganeshpurkar/AlzLeads	Longitudinal Early-onset Alzheimer's Disease Study	No Version Info	No version specification file found, may cause compatibility issues	2025-11-30T22:36:49.447663
https://github.com/ankitganeshpurkar/AlzLeads	Longitudinal Early-onset Alzheimer's Disease Study	No Container	No Docker or container file found, limiting reproducibility across environments	2025-11-30T22:36:49.447671
https://github.com/ankitganeshpurkar/AlzLeads	Longitudinal Early-onset Alzheimer's Disease Study	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-11-30T22:36:49.447673
https://github.com/MyronFernandes/Alzheimer-s-MRI-Image-Classification-Model	Longitudinal Early-onset Alzheimer's Disease Study	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-11-30T22:39:15.808846
https://github.com/MyronFernandes/Alzheimer-s-MRI-Image-Classification-Model	Longitudinal Early-onset Alzheimer's Disease Study	No Version Info	No version specification file found, may cause compatibility issues	2025-11-30T22:39:15.808862
https://github.com/MyronFernandes/Alzheimer-s-MRI-Image-Classification-Model	Longitudinal Early-onset Alzheimer's Disease Study	No Container	No Docker or container file found, limiting reproducibility across environments	2025-11-30T22:39:15.808866
https://github.com/MyronFernandes/Alzheimer-s-MRI-Image-Classification-Model	Longitudinal Early-onset Alzheimer's Disease Study	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-11-30T22:39:15.808868
https://github.com/rf2485/eoad_wmh	Longitudinal Early-onset Alzheimer's Disease Study	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-11-30T22:41:27.448088
https://github.com/rf2485/eoad_wmh	Longitudinal Early-onset Alzheimer's Disease Study	No Version Info	No version specification file found, may cause compatibility issues	2025-11-30T22:41:27.448106
https://github.com/rf2485/eoad_wmh	Longitudinal Early-onset Alzheimer's Disease Study	No Container	No Docker or container file found, limiting reproducibility across environments	2025-11-30T22:41:27.448109
https://github.com/rf2485/eoad_wmh	Longitudinal Early-onset Alzheimer's Disease Study	No Environment Spec	No environment specification file (conda, pipenv, etc.) found	2025-11-30T22:41:27.448112
https://github.com/Shalimar01/Health-Benefits-of-Red-Chilli-Powder-Shalimars.com	Longitudinal Early-onset Alzheimer's Disease Study	No Dependencies	No dependency file found (requirements.txt, package.json, etc.), reducing reproducibility	2025-11-30T22:44:04.169761
https://github.com/Shalimar01/Health-Benefits-of-Red-Chilli-Powder-Shalimars.com	Longitudinal Early-onset Alzheimer's Disease Study	No Version Info	No version specification file found, may cause compatibility issues	2025-11-30T22:44:04.169779
