Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Biomedical Relevance	Code Summary	Data Types	Tooling
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/gemmashireby/BDR_neuropathology_EWAS	gemmashireby	gemmashireby	R	YES - This repository is directly related to Alzheimer's disease research, analyzing DNA methylation patterns associated with AD neuropathology in cortical brain tissue. It focuses on epigenomic analysis of neurodegenerative disease pathology using brain samples from dementia research cohorts.	This repository contains scripts for conducting an epigenome-wide association study (EWAS) analyzing DNA methylation signatures associated with Alzheimer's disease neuropathology in cortical brain regions. The code performs meta-analysis of methylation data from multiple cohorts and characterizes cell-type-specific methylation differences in purified neural cell populations including neurons, oligodendrocytes, and microglia.	DNA methylation data, neuropathology measurements, cortical brain tissue samples, purified nuclei populations from specific cell types (neurons, oligodendrocytes, microglia), amyloid-beta pathology data, neurofibrillary tangle measurements.	Not specified in the available repository information.
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/IAiAye/BDrive	IAiAye	IAiAye		"NO. This repository appears to be a personal study notes collection covering computer science topics and algorithms, not biomedical research. Despite the name ""Brain Drive,"" the content focuses on general computer science concepts like computer architecture, sorting algorithms, and minimum spanning trees rather than any brain-related biomedical applications."	BDrive appears to be a personal knowledge repository or study notes collection organized in markdown format. The repository contains educational materials covering computer science fundamentals and algorithm concepts, structured as a reference guide or learning resource.	Not specified in the available repository information.	Markdown (for documentation formatting). No other specific tools, packages, or frameworks are mentioned in the available content.
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/htil/bdr-muse	htil	BryanHernandez04; ajaymehul; pwstegman; BryanYHernandez	JavaScript	YES - This repository is biomedically relevant as it involves brain-computer interface technology using the Muse EEG headband to measure neural engagement levels. The project captures and processes brainwave data for real-time control applications, which relates to neuroscience and brain signal analysis.	This is a web-based brain-computer interface project that uses the Muse EEG headband to control a Tello drone through brain engagement levels. The system measures neural engagement in real-time and when it exceeds a 20% threshold, it commands the drone to take off and fly forward with speed proportional to the engagement level.	EEG (electroencephalography) data, specifically neural engagement metrics from the Muse headband.	Node.js, Muse EEG headband, Tello drone, web technologies (implied by localhost server setup).
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/htil/bdr-simulator	htil	BryanHernandez04; lcbentley13; BryanYHernandez	CSS	YES - This repository is biomedically relevant as it involves brain-computer interface (BCI) technology that processes EEG brain wave data from the Muse device. While it's designed as a gaming/simulation application, it utilizes neuroimaging data (EEG) and brain signal processing techniques that are fundamental to neuroscience and brain-computer interface research.	The Brain-Drone Race Simulator is a brain-computer interface application that controls drone movement speed based on real-time analysis of brain waves, specifically gamma and alpha frequency bands. It processes EEG data from a Muse headset and translates the neural signals into control commands for a drone simulator built with Unity and WebAssembly.	EEG (electroencephalography) data, specifically gamma and alpha frequency bands from brain waves	- bci.js (brain-computer interface JavaScript library) - BCIDevice (BCI data processing) - Muse headset (EEG data acquisition) - Unity (game engine/simulator) - WebAssembly - JavaScript
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/hlnkm/helen-kilimanjaro-campaign-2018	hlnkm	joeyklee	HTML	YES - This repository is biomedically relevant as it relates to a fundraising campaign for The Michael J. Fox Foundation, which is dedicated to Parkinson's disease research and finding a cure for this neurodegenerative condition.	"This repository contains a website or web application for a fundraising campaign called ""Helen and Kilimanjaro"" supporting The Michael J. Fox Foundation for Parkinson's Research. The campaign involves a trek up Mount Kilimanjaro via the Northern Circuit route from July 25 to August 1, 2018, with a funding goal of $19,341."	Not specified in the available repository information.	Sass (CSS preprocessor)
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/charlesdguthrie/APDA_Clock	charlesdguthrie	charlesdguthrie	JavaScript	YES - This repository is related to Parkinson's disease, which is a neurodegenerative disorder. It appears to be part of an awareness campaign for the American Parkinson's Disease Association (APDA).	This repository contains a clock counter application designed for an awareness campaign for the American Parkinson's Disease Association. The purpose appears to be creating a digital tool to support public awareness efforts related to Parkinson's disease.	Not specified in the available repository information.	Not specified in the available repository information.
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/jvson03/web-template-2	jvson03	jvson03	HTML	YES - This repository is biomedically relevant as it is specifically designed to raise awareness about Parkinson's disease, which is a major neurodegenerative disorder. The template is intended for creating informational websites or campaigns focused on this neurological condition.	This is a responsive web template specifically designed to create awareness websites about Parkinson's disease. The template features a modern, clean design with organized content sections optimized for viewing across various devices including desktops, tablets, and smartphones.	Not specified in the available repository information.	HTML, CSS, JavaScript, Git (for version control), GPL-3.0 License.
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/danderfer/Comp_Sci_Sem_2	danderfer	danderfer	Python	"NO. This repository contains the script from the ""Bee Movie"" animated film and appears to be a general computer science semester project with no relation to biomedical research, neuroscience, brain imaging, or any healthcare applications."	"This repository appears to be a computer science semester project that contains the full script text from the animated movie ""Bee Movie."" The repository does not contain actual code but rather serves as a text repository, likely for a class assignment or project."	Not specified in the available repository information.	Not specified in the available repository information.
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/S4ltster/Beemovie	S4ltster	S4ltster; Deltara3	CSS	"NO. This repository contains the script from the animated movie ""Bee Movie"" and has no relation to biomedical research, neuroscience, brain imaging, or any healthcare applications. It is purely entertainment content used for educational purposes."	"This is not a code repository but rather a text file containing the complete script from the 2007 animated film ""Bee Movie."" The repository appears to be created for educational or reference purposes and contains the dialogue and narrative from the movie about a bee named Barry who questions his predetermined life path in bee society."	Not specified in the available repository information.	Not specified in the available repository information.
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/HimangshuCyber/Math-Quiz	HimangshuCyber	HimangshuCyber	JavaScript	"NO. This repository appears to be unrelated to biomedical research. The README content consists entirely of the script from the animated movie ""Bee Movie"" and contains no references to neurodegenerative diseases, brain imaging, medical data analysis, or any other biomedical applications."	"Based on the available repository information, this appears to be a repository titled ""Math-Quiz"" but the actual code content is not visible in the provided information. The README file contains only the ""Bee Movie"" script text, which provides no indication of the actual functionality or purpose of any mathematical quiz application that may exist in the codebase."	Not specified in the available repository information.	Not specified in the available repository information.
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/SanTanBan/MindControl	SanTanBan	SanTanBan		"NO. While this repository mentions neurological concepts like ""Remote Neural Monitoring"" and brain-related technologies, it appears to be a personal account of alleged surveillance and mind control experiences rather than a legitimate biomedical research project. The content reads as a personal testimony/complaint rather than scientific research code or analysis."	This repository does not contain actual code but rather serves as a personal documentation platform where the author describes alleged experiences with mind control technologies and surveillance during their PhD studies. The repository appears to be used primarily to share personal accounts and external documents rather than to host any software or research code.	Not specified in the available repository information.	No programming tools, packages, or frameworks are mentioned or apparent in the repository content.
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/mobassir94/Introduction-to-TensorFlow-for-Artificial-Intelligence-Machine-Learning-and-Deep-Learning	mobassir94	mobassir94	Jupyter Notebook	NO - This is a general educational repository for learning TensorFlow and deep learning fundamentals. It appears to be course materials from a Coursera course taught by Laurence Moroney focused on general AI/ML concepts rather than specific biomedical or neuroscience applications.	This repository contains hands-on practice materials and exercises for learning TensorFlow, artificial intelligence, machine learning, and deep learning concepts. It serves as supplementary code for a Coursera course taught by Google Brain AI advocate Laurence Moroney, providing practical implementation examples for foundational deep learning techniques.	Not specified in the available repository information.	TensorFlow
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/vunderkind/Brain.js	vunderkind	vunderkind	JavaScript	"NO - This appears to be a general machine learning/neural network project using the Brain.js library. While the name ""Brain.js"" might suggest neuroscience relevance, Brain.js is actually a general-purpose JavaScript neural network library for machine learning applications, not specifically for biomedical or neuroscience research."	This is a minimal JavaScript project that uses the Brain.js neural network library. The repository contains only basic setup files (README and package.json) with no actual implementation code visible, suggesting it's either a starter template or an incomplete project for general machine learning applications.	Not specified in the available repository information.	- Brain.js (v2.0.0-alpha.9) - JavaScript neural network library - Node.js/npm (implied by package.json structure) - JavaScript
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/strazdinalaura/kickstarter-campaign-brainstation	strazdinalaura	strazdinalaura		NO - This repository is about a Kickstarter campaign for a board game company, which is unrelated to biomedical research, neuroscience, or healthcare applications.	This repository appears to be related to setting up a Kickstarter campaign for a board game company that needs a minimum of $15,000 USD funding. Based on the limited information available, it seems to be a business/marketing project rather than a software development project.	Not specified in the available repository information.	Not specified in the available repository information.
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/RNA-Messenger/brainfart-gm	RNA-Messenger	RNA-Messenger	JavaScript	NO - This repository is a campaign tracker tool for tabletop gaming (GM = Game Master). It manages NPCs, maps, and game sets for role-playing games, not biomedical or neuroscience research.	This is a React-based campaign management tool for tabletop game masters that uses IndexedDB for data persistence. It allows users to track NPCs, sets, and maps with image support, providing export/import functionality for backup and data portability.	Gaming data (NPCs, Sets, Maps, images stored as blobs), CSV files for data import, JSON for export/import functionality.	React, IndexedDB (browser database), papaparse (CSV parsing library), JavaScript/HTML5 Blob API for image storage.
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/ellaneumann/bike_safety_campaign	ellaneumann	ellaneumann	CSS	YES - While this is primarily a website project, it has biomedical relevance as it focuses on brain injury prevention through bike safety and helmet use. The campaign's core purpose is to protect brains from traumatic injury, which relates to neurological health and injury prevention in the biomedical context.	"This repository contains code for a website supporting ""Helmets are Hot,"" a public health campaign aimed at promoting bicycle helmet use for brain protection. The project appears to be a web-based awareness campaign designed to encourage safe cycling practices through messaging that frames brain protection as socially desirable."	Not specified in the available repository information.	Not specified in the available repository information.
