Resource Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Content_For_Analysis	Biomedical Relevance	Code Summary	Data Types	Tooling
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/AmurdAmzer/AdamsBrain	AmurdAmzer	AmurdAmzer	TypeScript		NO - This repository is an educational technology platform for WASSCE (West African Senior School Certificate Examination) exam preparation. It is a general tutoring system for academic subjects and is not related to biomedical research, neuroscience, brain disorders, or medical applications.	AdamsBrain is an AI-powered tutoring platform designed to help West African students prepare for WASSCE exams. The system consists of a Next.js frontend web application and an Express.js backend API, with plans for a React Native mobile application.	Not specified in the available repository information.	Next.js, Express.js, React Native
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/adamjamo/adams-brainfood-proj	adamjamo	adamjamo	JavaScript		"NO - This is a general news application that allows users to view, post, vote on, and comment on articles. Despite the name ""BRAINFOOD,"" there is no indication that it relates to neuroscience, brain disorders, medical research, or any biomedical applications."	BRAINFOOD is a web-based news application that enables users to browse, submit, and interact with articles across different topics. The app includes functionality for voting on articles (up/down votes) and a commenting system where users can post and delete their own comments.	Not specified in the available repository information.	npm (Node Package Manager), React (implied by localhost:3000 and development mode description), JavaScript web development stack
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/wrgull/ag	wrgull	noahrileyvc			"NO. This repository is not biomedically relevant. It appears to be a promotional page for downloading an ebook titled ""Reframe Your Brain"" by Scott Adams, which is described as a productivity/self-help book rather than scientific or medical research related to neuroscience or brain disorders."	This is not a code repository but rather a markdown-formatted promotional page designed to facilitate downloading an ebook. The content consists entirely of marketing material, book descriptions, reader reviews, and download links for a self-help book in various formats.	Not specified in the available repository information.	Markdown formatting, HTML elements, and external file hosting links (filepdf.site). No programming languages, frameworks, or development tools are present.
Aging, Demographics, and Memory Study	ADAMS	Alzheimer's Disease; Vascular Dementia; Normal Controls	https://github.com/Cliffypal/Brain-Stroke-For-Mr.-Adams-Awodey	Cliffypal	Cliffypal	HTML		YES - This repository is biomedically relevant as it focuses on brain stroke prediction, which is directly related to neurological conditions and healthcare applications for brain disorders.	This is a web application that predicts the likelihood of brain stroke occurrence using machine learning. The application allows users to input relevant data and receive stroke risk predictions through a web interface powered by a machine learning model backend.	Not specified in the available repository information.	Not specified in the available repository information.
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/ravitedlapu/ADC-RBK-a-multimodal-approach-for-early-detection-of-chronic-diseases-and-focusing-on-Alzheimer-s	ravitedlapu	ravitedlapu			YES - This repository is directly focused on Alzheimer's disease detection, which is a major neurodegenerative condition. The project specifically aims to develop a machine learning model for early detection of chronic diseases with a focus on Alzheimer's using MRI brain imaging data.	The code implements an Attention Dual Convolutional-based Random Binary Kepler (ADC-RBK) model for predicting chronic disease risk from medical imaging data. It features a dual CNN architecture with attention mechanisms that processes grayscale images through two parallel convolutional branches with different kernel sizes, combines their outputs, and applies attention weighting for focused feature extraction before classification.	MRI imaging data (specifically brain scans for Alzheimer's detection), grayscale medical images	PyTorch, torch.nn, torch.optim, torchvision.transforms, torchvision.datasets.ImageFolder, torch.utils.data.DataLoader, sklearn.metrics (mentioned for evaluation)
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/Rishi8520/S.H.R.A.V.Y.A	Rishi8520	Rishi8520	C		YES - This repository is highly biomedically relevant as it focuses on EEG-based brain monitoring for cognitive state classification, stress detection, fatigue monitoring, and neurological wellness applications. It directly relates to brain imaging/analysis and healthcare applications for neurological conditions through real-time brainwave signal processing and cognitive intervention systems.	S.H.R.A.V.Y.A is an AI-powered brain-computer interface system that performs real-time EEG signal acquisition and processing to classify cognitive states (focus, stress, anxiety, fatigue, calm, meditation). The system uses advanced signal processing, machine learning-based neural networks, and provides automated haptic/audio feedback interventions based on detected brain states for cognitive wellness monitoring.	EEG signals, brainwave patterns (delta, theta, alpha, beta, gamma frequency bands), cognitive state data, haptic feedback data, audio data, electrode impedance measurements, frequency domain features, time domain features, Hjorth parameters, coherence features, signal quality metrics.	Renesas EK-RA8D1 Development Board, ADS1263 24-bit ADC, μT-Kernel 3.0 real-time operating system, SPI communication interface, FFT-based signal processing, custom neural network implementation, N8N workflow automation, FSP Hardware Abstraction Layer, Standard C99 libraries, custom DSP libraries for EEG processing, haptic actuators, professional-grade EEG electrodes.
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/bothlab/galdur	bothlab	ximion			YES - This repository is biomedically relevant as it contains hardware designs for detecting Sharp-Wave-Ripple events in brain signals, which are important neurophysiological patterns studied in neuroscience research, particularly in memory and epilepsy studies.	This repository contains hardware description files for the GALDUR board, a Raspberry Pi hat designed for real-time detection of Sharp-Wave-Ripple events in brain signals. The board features ADCs, DACs, and UART connectivity to work with Intan Technologies recording equipment and enables low-latency disruption of detected neural events.	Brain signals/neural recordings (specifically Sharp-Wave-Ripple events)	Raspberry Pi 3/4+, Intan Technologies RHD2000 USB Interface Board, LaBrStim software, Syntalos, 16-bit ADCs, 16-bit DAC, UART communication, realtime clock
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/DevEraY/Stroke_Detector_AI_using_mri_and_ct_slices	DevEraY	DevEraY	Python		YES - This repository is directly focused on stroke detection using brain imaging data (MRI and CT scans). It involves medical imaging analysis, neurological condition detection, and clinical decision support for brain disorders, making it highly relevant to biomedical research and healthcare applications.	This code implements a symmetry-aware AI system for binary stroke detection from brain CT and MRI slices. It includes a comprehensive pipeline for preprocessing DICOM medical images, normalizing intensity values, automatically separating different imaging sequences, and combining expert knowledge with AI predictions for lesion detection in a hybrid decision-making system.	MRI sequences (T2, T2 FLAIR, DWI b0, DWI b1000, ADC), CT scans, DICOM files, brain imaging data, lesion segmentation masks	DICOM processing libraries, NumPy for array manipulation, CNN (Convolutional Neural Networks), image preprocessing tools, z-score normalization methods, grayscale conversion utilities, brain parenchyma isolation algorithms
Alzheimer's Disease Neuroimaging Initiative Grand Opportunities	ADNI-GO	Alzheimer's Disease; Early Mild Cognitive Impairment; Normal Controls	https://github.com/himanshub1007/Alzhimers-Disease-Prediction-Using-Deep-learning	himanshub1007	himanshub1007	Python		YES - This repository is directly focused on Alzheimer's disease prediction using brain MRI imaging data. It specifically addresses neurodegenerative disease detection through medical imaging analysis and uses clinical neuroimaging data from the Alzheimer's Disease Neuroimaging Initiative (ADNI) study.	This project implements deep learning approaches for predicting Alzheimer's disease from brain MRI scans using convolutional neural networks. The code explores different transfer learning methods including pretrained 2D AlexNet and 3D autoencoders to classify brain structure changes associated with Alzheimer's disease, achieving 86% accuracy with the AlexNet approach.	- Brain MRI scans (structural neuroimaging) - 3D brain images (121x145x121 voxels) - Whole brain and grey matter segmented images - Clinical diagnostic labels (AD cases vs normal controls)	- Convolutional Neural Networks (CNN) - AlexNet architecture - 3D Sparse Autoencoder - Statistical Parametric Mapping (SPM) software version 12 - Transfer learning frameworks - ImageNet pretrained models - Deep learning libraries (specific framework not mentioned but likely TensorFlow/PyTorch)
Alzheimer's Disease Neuroimaging Initiative Phase 1	ADNI-1	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/mitchell-s17/ADNI1-RVAS	mitchell-s17	mitchell-s17	Jupyter Notebook		YES - This repository is directly focused on Alzheimer's Disease research, implementing a rare variant analysis workflow using ADNI (Alzheimer's Disease Neuroimaging Initiative) data to identify genetic variants associated with AD risk.	This repository implements a comprehensive computational pipeline called MIRAGE for analyzing rare genetic variants associated with Alzheimer's Disease using ADNI-1 dataset. The workflow processes genetic data from 389 individuals through quality control, imputation, functional annotation, and gene-level association testing to identify rare variants (MAF 0.005-0.01) that may contribute to AD risk.	Genetic/genomic data (SNP genotypes, VCF files), clinical phenotype data (AD cases vs cognitively normal controls), demographic data, functional annotation data (PolyPhen-2, SIFT, CADD scores), and covariate data from the ADNI dataset.	Python (pandas, numpy, matplotlib, seaborn, scipy), R (data.table, vcfR, dplyr, mirage), PLINK 1.9/2.0, bcftools, ShapeIt2, ANNOVAR, LiftOver, Michigan Imputation Server, HRC reference panel, RefGene database, dbNSFP v4.1a, and various genetic mapping resources (GRCh37/hg19).
Alzheimer's Disease Neuroimaging Initiative Phase 1	ADNI-1	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/FahimFBA/organize-ADNI	FahimFBA	FahimFBA	HTML		YES - This repository is directly related to Alzheimer's disease research and neuroimaging. It provides tools for organizing and processing the ADNI (Alzheimer's Disease Neuroimaging Initiative) dataset, which is a major neuroimaging dataset used for studying Alzheimer's disease, mild cognitive impairment, and cognitively normal subjects.	This repository contains three Python scripts designed to organize and process the ADNI neuroimaging dataset. The scripts reorganize the dataset by clinical group (AD, MCI, CN), remove unnecessary subdirectories, and rename NIfTI files to use subject IDs for simplified file management and analysis workflows.	- Neuroimaging data (NIfTI format .nii files) - Clinical metadata (CSV files containing subject classifications) - MRI data (specifically mentioned MPR sequences with various preprocessing steps like GradWarp, N3, and scaling)	- Python 3.9 or later - Standard Python libraries for file system operations - gzip compression utility (mentioned for optional file compression)
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/atri-biostats/ADNIMERGE2	atri-biostats	KedirHussen-atri; mcdonohue	R		YES - This repository is directly related to Alzheimer's disease research, which is a major neurodegenerative condition. It provides an R data package for the Alzheimer's Disease Neuroimaging Initiative (ADNI) study, which is a well-known longitudinal study focused on understanding Alzheimer's disease progression through various biomedical data collection methods.	ADNIMERGE2 is an R data package that provides access to datasets from the Alzheimer's Disease Neuroimaging Initiative (ADNI) study. The package serves as a data distribution mechanism for researchers to access ADNI study data through R, requiring proper authorization and acceptance of data use agreements through the LONI platform.	Not specified in the available repository information. While this is an ADNI data package (which typically includes neuroimaging, clinical, cognitive, and biomarker data), the specific data types and modalities are not detailed in the provided README content.	- R programming language - R package development framework - LONI data sharing platform - GitHub Pages (for documentation hosting)
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/myousefnezhad/adni202	myousefnezhad	myousefnezhad			YES - This repository is directly related to Alzheimer's Disease, which is a major neurodegenerative disease. It contains neural images from the ADNI (Alzheimer's Disease Neuroimaging Initiative) dataset for 202 subjects and appears to implement clustering ensemble methods for analyzing this neurological data.	This repository implements the WoCE (Wisdom of Crowds Ensemble) framework for clustering ensemble analysis applied to Alzheimer's Disease neural imaging data. The code appears to analyze neural images from 202 ADNI subjects using clustering ensemble techniques based on the wisdom of crowds theory for improved pattern recognition in Alzheimer's disease data.	Neural images from ADNI (Alzheimer's Disease Neuroimaging Initiative) dataset - likely neuroimaging data such as MRI or other brain imaging modalities, though the specific imaging type is not explicitly specified in the available repository information.	Not specified in the available repository information.
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/CarlosTheran/REU-ADNIC-2021	CarlosTheran	CarlosTheran			YES - This repository is directly related to Alzheimer's disease, a major neurodegenerative condition. It focuses on developing machine learning methods for classifying different stages of Alzheimer's disease, which is a core area of biomedical research in neurodegeneration.	This repository contains a machine learning application specifically designed for classifying stages of Alzheimer's disease. The project appears to be part of an REU (Research Experience for Undergraduates) program from 2021 focused on Alzheimer's Disease Neuroimaging Initiative (ADNIC) research.	Not specified in the available repository information.	Not specified in the available repository information.
