Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Biomedical Relevance	Code Summary	Data Types	Tooling
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/BenoitFaure/MedGemma_DeepMind	BenoitFaure	BenoitFaure; Mzoughh; NueveCuatro	HTML	YES. This repository is directly focused on Alzheimer's disease treatment monitoring, specifically tracking Amyloid-Related Imaging Abnormalities with edema (ARIA-E) in patients undergoing anti-amyloid therapy. It involves brain imaging analysis using FLAIR MRI scans and provides clinical decision support tools for neurologists.	GemmARIA is an AI-powered system that helps neurologists monitor Alzheimer's patients receiving anti-amyloid therapy by automatically analyzing FLAIR MRI scans to detect and track brain edema (ARIA-E) over time. The system uses nnU-Net for automated segmentation, a fine-tuned MedGemma model for MRI interpretation, and a RAG-powered chatbot to generate longitudinal reports comparing patient scans and provide evidence-based clinical insights. It integrates multiple AI components into a web-based clinical workflow tool to support treatment continuation decisions.	FLAIR MRI scans, brain imaging data, segmentation masks, clinical reports, scientific literature/research papers on ARIA and anti-amyloid therapies	nnU-Net, MedGemma (Google's medical language model), Hugging Face, Google Cloud Platform (GCS, Vertex AI, Artifact Registry), FastAPI, Next.js, Python, Node.js, Docker, Retrieval-Augmented Generation (RAG) system, Gemini API, vector databases
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/chandrasekarnarayana/Hotspot_detection_in_Yeast_Cell_Model-Image_Processing	chandrasekarnarayana	chandrasekarnarayana	Jupyter Notebook	YES - This repository is directly biomedically relevant as it focuses on analyzing yeast cell models used to study neurodegenerative diseases including Alzheimer's disease, Parkinson's disease, and Huntington's disease. The project specifically targets protein aggregation detection, which is a key pathological feature in neurodegeneration research.	This code performs image processing on fluorescence microscopy images of yeast cells to detect cell walls and identify protein hotspot locations within the cells. The project uses OpenCV library for post-processing fluorescence images to study protein aggregations that are associated with neurodegenerative diseases like Alzheimer's and Parkinson's.	Fluorescence microscopy images, optical microscopy data, electron microscopy data	OpenCV library, Python (implied), fluorescence imaging techniques
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/ankitganeshpurkar/AlzLeads	ankitganeshpurkar	ankitganeshpurkar	Python	YES - This repository is directly related to Alzheimer's disease, a major neurodegenerative condition. The application focuses on predicting inhibitors for Alzheimer's disease treatment, which is clearly within the scope of biomedical research for neurological conditions.	AlzLeads is a web application built with Streamlit that predicts potential inhibitors for Alzheimer's disease treatment. The application appears to use machine learning models to analyze chemical compounds and predict their effectiveness as therapeutic inhibitors for Alzheimer's disease.	Chemical/molecular data (based on RDKit usage for cheminformatics), likely including molecular structures and compound properties for drug discovery applications.	Streamlit (web application framework), RDKit (cheminformatics toolkit), scikit-learn (machine learning), pandas (data manipulation), NumPy (numerical computing), SciPy (scientific computing), joblib (model serialization).
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/MyronFernandes/Alzheimer-s-MRI-Image-Classification-Model	MyronFernandes	MyronFernandes; myronfds	Jupyter Notebook	YES - This repository is directly focused on Alzheimer's disease classification using MRI brain imaging, which is a core biomedical application involving neurodegenerative disease diagnosis and neuroimaging analysis.	This project implements a deep learning model for classifying Alzheimer's disease stages using MRI brain images. The code uses a custom convolutional neural network that outperformed other approaches, though it faced challenges with class imbalance (lack of 'Moderate Demented' images) and some overfitting issues that were mitigated using early stopping techniques.	MRI (Magnetic Resonance Imaging) brain images with different Alzheimer's disease classification stages including 'Moderate Demented' category.	Deep learning frameworks (specific framework not mentioned in available content), convolutional neural networks (CNNs), early stopping technique for overfitting prevention, and MRI image processing capabilities.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/rf2485/eoad_wmh	rf2485	rf2485		YES - This repository is directly related to Alzheimer's disease research, specifically analyzing white matter abnormalities in early onset Alzheimer's Disease patients, which falls under neurodegenerative diseases and brain analysis.	This repository contains R code for analyzing white matter abnormalities in early onset Alzheimer's Disease patients from the LEADS cohort. The code was developed to support research presented in an AAIC 2020 poster examining brain white matter changes in this patient population.	White matter imaging data (likely neuroimaging data such as MRI), clinical data from early onset Alzheimer's Disease patients from the LEADS cohort.	R programming language.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Shalimar01/Health-Benefits-of-Red-Chilli-Powder-Shalimars.com	Shalimar01	Shalimar01		NO. This repository appears to be marketing content about the health benefits of red chili powder for a spice company (Shalimars.com), not a biomedical research project or software tool for medical/clinical analysis.	This repository does not contain code - it consists entirely of marketing text describing the purported health benefits of red chili powder as a spice product. The content is promotional material for a commercial spice company rather than a software development project.	Not specified in the available repository information.	No programming tools, packages, or frameworks are present as this repository contains only text content rather than code.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Akshaybhat5/Parkinson-s-disease-predictor	Akshaybhat5	Akshaybhat5	Jupyter Notebook	YES - This repository is directly related to Parkinson's disease, which is a neurodegenerative brain disorder. The project focuses on predicting Parkinson's disease, making it highly relevant to biomedical research and neurological healthcare applications.	This repository contains a machine learning project for predicting Parkinson's disease. The code includes data preprocessing, cleaning of raw data, outlier analysis, and model development with the trained model saved for deployment purposes.	Not specified in the available repository information.	- Jupyter Notebook - Python - Joblib (for model serialization and deployment)
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Srishtichauhan5359/Parkinson-s-Disease-Detection	Srishtichauhan5359	Srishtichauhan5359	Jupyter Notebook	YES - This repository is directly focused on Parkinson's disease detection, which is a major neurodegenerative disorder. The project specifically aims to develop early detection methods for PD using speech pattern recognition, which is clearly within the scope of biomedical research for neurological conditions.	This project develops machine learning models to detect and classify Parkinson's disease severity using speech-related datasets. The approach leverages the fact that vocal dysfunction can be identified up to 5 years before traditional PD diagnoses, focusing on speech pattern recognition as an early detection strategy for preserving neuron integrity and slowing disease progression.	Speech-related datasets (specific modalities not detailed in the available repository information, but likely includes audio recordings and extracted speech features)	Not specified in the available repository information.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/JKBehnke/Beta_profile	JKBehnke	JKBehnke	Jupyter Notebook	YES - This repository is directly related to Parkinson's disease, a neurodegenerative disorder. It analyzes brain signals (LFP data) from Deep Brain Stimulation (DBS) devices to support clinical programming for Parkinson's patients.	This code analyzes Local Field Potential (LFP) data recorded from chronically implanted DBS devices in Parkinson's patients to extract beta frequency band information. It provides tools to plot power spectra, identify peak beta values, and rank multiple LFP channels by their beta power to assist clinicians during DBS programming sessions.	Local Field Potential (LFP) electrophysiological data recorded from Medtronic Percept PC devices with SenSight directional leads (15 channels, 20-second recordings using BrainSense Survey modality).	Medtronic Percept PC device, SenSight directional DBS leads, PyPerceive GitHub repository, BrainSense Survey recording modality, OneDrive data storage system.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/ashu979/FAll_DETECTION	ashu979	ashu979	Jupyter Notebook	YES - This repository is biomedically relevant as it specifically focuses on fall detection in elderly people with neurodegenerative disorders like Parkinson's disease, which is a direct healthcare application for neurological conditions that can help prevent physical and mental health deterioration.	This project implements a machine learning framework for detecting falls in elderly people, particularly those with neurodegenerative disorders like Parkinson's disease. The code includes data preprocessing, feature extraction, and multiple machine learning algorithms (Decision Tree, Random Forest, Grid Search Ensemble, Extra Tree Ensemble, ADA Boost, and XG Boost) to classify fall events using the publicly available SisFall dataset.	Sensor data from the SisFall dataset (likely accelerometer and gyroscope data based on typical fall detection datasets, though specific modalities are not explicitly detailed in the available repository information).	Decision Tree Classifier, Random Forest Classifier, Grid Search Ensemble, Extra Tree Ensemble, ADA Boost Classifier, XG Boost Classifier, and general data preprocessing tools for cleaning data, removing outliers, and data splitting.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Tanaybalraj/Eye-blink-to-speech	Tanaybalraj	Tanaybalraj	Python	YES - This repository is directly biomedically relevant as it addresses Motor Neuron Disease (MND), a neurodegenerative condition that affects motor neurons and leads to muscle weakness and communication difficulties. The system is specifically designed as an assistive healthcare technology for neurological patients who have lost the ability to speak or move voluntarily.	This system develops an eye-blink detection technology that converts intentional eye blinks into speech for Motor Neuron Disease patients who cannot communicate verbally. The system uses computer vision to capture video frames, detect faces and eyes, differentiate between intentional long blinks and normal blinks, and converts blink patterns into corresponding speech output and text.	Video frames, facial image data, eye region data, blink pattern data	Face Detection Algorithm, AdaBoost Classifier, computer vision technologies, camera/video capture systems
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/mehdi4027/satoshi-Nakomoto	mehdi4027			NO. This repository appears to be related to cryptocurrency (Bitcoin) and financial systems, with philosophical commentary about economic transparency and monetary revolution. There is no mention of neurodegenerative diseases, brain imaging, medical data analysis, or any biomedical research applications.	Based on the available content, this appears to be a repository containing philosophical writings about Bitcoin and cryptocurrency rather than actual code. The content consists primarily of a manifesto-style text discussing economic systems, financial transparency, and the creator's vision for cryptocurrency's role in society.	Not specified in the available repository information.	Not specified in the available repository information.
